,exp,learning_rate,seq_len,pred_len,loss_pred_len,width,hidden_units,include_affine,affine_in_first_layer,n_hidden_layers,n_integral_layers,use_revin,val_loss,val_loss_norm,train_loss,epoch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_nmse,val_nmse,test_nmse,train_nmae,val_nmae,test_nmae
65,277,0.005,48,24,24,5,32,True,False,3,3,False,0.4868090748786926,0.02028371145327886,0.4768281068120684,1.0,10.676137670578697,8.254386234763931,8.364383732720714,2.7989015999207147,2.295645868327341,2.4393195461812107,0.00382646917700236,0.0026823130604098654,0.002773083346996786,0.05308761408658649,0.0414208936304558,0.04446444620930125
66,21,0.001,48,48,48,5,32,True,False,3,3,False,0.9152340888977051,0.019067376852035522,0.8509372969468435,5.0,10.413801371561416,8.256314888485768,9.985658326427766,2.724734512398736,2.2997328243416004,2.618062029284148,0.003732444372042713,0.0026829397881785884,0.0033105921127807294,0.05168086448152556,0.04149463556629816,0.04772260299228186
67,58,0.005,48,24,24,10,32,True,False,3,3,False,0.4500380704800288,0.0187515862700012,0.06648575514554977,31.0,1.0901499558771874,9.061301932388092,8.900975750089467,0.8478393331479371,2.3194684361163898,2.1776848619728706,0.0003907241863291212,0.002944525228925981,0.0029509822137926407,0.016081225337418625,0.041850729982834255,0.03969531239053545
68,92,0.001,48,24,24,32,64,True,False,3,3,False,0.509629468123118,0.021234561171796586,0.28975429066589903,8.0,5.408049883726204,8.509712696821271,17.037357383568843,1.9049902114015487,2.3197261870682144,3.6538565082574648,0.0019383167233593588,0.002765282948705168,0.005648474956067039,0.03613252612541828,0.041855380645598045,0.06660328960273501
69,241,0.005,96,48,48,10,64,True,False,3,3,False,0.4200652837753296,0.0087513600786527,0.12750199437141418,14.0,1.859679741853652,7.8212828452319725,12.573422668294159,1.0884677197350534,2.3276511100997386,2.8021054493083755,0.0006613883704182578,0.0025415734772102454,0.004168525755197156,0.020554153130773,0.041998371948589165,0.051077386404178145
70,238,0.001,96,48,48,5,64,True,False,3,3,True,0.4321485161781311,0.009003094087044397,0.13817253212134042,22.0,2.7507942999047064,7.790620018904034,4.549259664649054,1.3691319704727785,2.3378553490535046,1.7279791366089357,0.000978310038241509,0.0025316094051170213,0.0015082373812970668,0.025854095318678275,0.04218248950004394,0.03149797880758467
71,237,0.005,24,5,5,32,32,True,False,3,3,False,0.1499230107292533,0.029984602145850657,0.1359932590276003,7.0,5.944156361914854,8.593377485551809,13.372676269586048,2.0579780417603333,2.347202203465604,3.001868711047702,0.002172474454130409,0.002792470331161687,0.004433506048138453,0.03942094532381592,0.04235113705484516,0.05471871450328197
72,6,0.005,10,10,10,5,32,True,False,3,3,False,0.8920518010854721,0.08920518010854721,0.6710819274187088,8.0,5.50295438608761,8.153372154315509,8.561615666031377,1.9293074574870586,2.3526786823512817,2.4323088474626897,0.001996913848651872,0.0026494879199856184,0.0028384725743728803,0.03682219433599063,0.04244995048792854,0.04433665367119475
73,278,0.001,48,24,24,5,64,True,False,3,3,False,0.5197074711322784,0.021654477963844936,0.34823255028043476,6.0,5.7926654834793005,8.559476483289767,19.00931569660836,2.0171603561490232,2.368959412096623,3.9832662850081073,0.0020761680496405163,0.002781453994084378,0.00630224753915285,0.03826009122329781,0.04274370763240454,0.07260784252081293
74,183,0.001,48,24,24,32,32,True,False,3,3,True,0.4121844619512558,0.017174352581302326,0.7254660235983985,7.0,12.315217681600869,9.201509109701844,12.204294077743663,2.7368929859704183,2.3698849284595402,2.8195425469919253,0.004413937167238295,0.0029900864047876087,0.004046146823279955,0.051911477931056514,0.042760406947987384,0.051395233605956325
75,150,0.005,96,5,5,32,32,True,False,3,3,False,0.04826284805312753,0.009652569610625505,0.029942419752478598,5.0,4.708973394557264,8.63320764210385,8.671011782216546,1.880667888052095,2.374350977492058,2.4672283882564967,0.0016747293470352022,0.0028054133830227395,0.0028747411815665557,0.035513718099567944,0.04284098895084617,0.044973174641032614
76,165,0.001,96,5,5,32,64,True,False,3,3,True,0.027685697423294187,0.005537139484658837,0.03240333255380392,7.0,5.757132263087886,8.718173938928524,5.307124630141167,2.036234074104123,2.3757430504108292,1.9125987328423393,0.0020475032555716905,0.0028330236984581434,0.001759495905802239,0.0384513625993626,0.042866106459208325,0.03486326488449674
77,98,0.005,48,5,5,32,32,True,False,3,3,False,0.10565924271941185,0.02113184854388237,0.04047793988138437,23.0,3.2224832993389985,7.704845186537067,10.0319025517329,1.4545062133593436,2.3842923361679604,2.689400822321574,0.0011549807054574226,0.0025037363511347145,0.003325923677566163,0.02758805973870264,0.043020363289866845,0.04902298199781845
78,127,0.005,48,24,24,5,64,True,False,3,3,True,0.4118927518526713,0.017162197993861306,0.915933336530413,0.0,15.415337267929486,9.295596044098728,13.665735823189586,3.2418707509565046,2.3943560910433463,2.9895250768454136,0.005525061096896722,0.003020660526929339,0.004530665455662662,0.06148954409481437,0.043201946053117724,0.054493712059516794
79,195,0.001,96,48,48,32,32,True,False,3,3,False,0.4263823330402374,0.008882965271671614,0.042427668968836464,40.0,1.0111341523476116,7.94731886095942,9.06319675367106,0.8086142555389452,2.3999639487713798,2.399597099131616,0.0003596062022103055,0.002582529647839136,0.0030047641035217594,0.015269521484862311,0.0433031299864292,0.043740376821629755
80,67,0.001,96,5,5,10,32,True,False,3,3,True,0.03139472403563559,0.0062789448071271185,0.03129428178071976,13.0,5.446500118123922,9.157109745400287,5.74647830162477,1.974241939017443,2.403497281567804,2.0067819923824737,0.001937028057324673,0.0029756585610506156,0.001905156887981589,0.03728072996196537,0.04336688276465206,0.03658005778446552
81,194,0.005,48,5,5,32,64,True,False,3,3,False,0.10254672821611166,0.02050934564322233,0.05591907002963126,19.0,6.69416804610434,8.808037914359975,7.287639313426379,2.059261166499211,2.404472172397307,2.2106015947129993,0.0023992785110557606,0.0028622255443743133,0.0024161052224236307,0.03905863004033469,0.04338447295567728,0.0402953257404062
